Agency;Distribution;Industry;LOB;Master Agency;Office;Pol Eff Yrmo;Pol Proc Yrmo;POL_EFF_Yr;Policy ID;Risk State;Snapshot Date;F23;Issues;New Issued Premium;Number of Records;Quotes;Rateable Manual Premium;Rateable Manual Schedule Premium
N/A;Direct;Retail Trade;BOP;N/A;SE;1.08.2019;1.01.2019;2019;1536150;NM;12/31/2019;;0;;1;1;4552;4688,56
G7;Agency Plant;Technology;WC;Master Agent G;SE;1.09.2019;1.01.2019;2019;31661560;IL;12/31/2019;;0;;1;1;3437;2715,23
N/A;Direct;Technology;BOP;N/A;NE;1.05.2019;1.05.2019;2019;76041214;LA;12/31/2019;;0;;1;1;965;743,05
N8;Agency Plant;Technology;WC;Master Agent N;SE;1.05.2019;1.01.2019;2019;72003470;SC;12/31/2019;;0;;1;1;1522;1537,22
I1;Agency Plant;Restaurants;BOP;Master Agent I;CE;1.12.2019;1.05.2019;2019;27044182;CO;12/31/2019;;0;;1;1;6089;5723,66
N/A;Direct;Restaurants;BOP;N/A;WE;1.08.2019;1.10.2019;2019;8310802;MI;12/31/2019;;0;;1;1;3857;3972,71
G8;Agency Plant;Wholesale Trade;Auto;Master Agent G;CE;1.09.2019;1.06.2019;2019;20982226;FL;12/31/2019;;0;;1;1;8785;7028
N/A;Other;Restaurants;WC;N/A;WE;1.12.2019;1.08.2019;2019;5101727;FL;12/31/2019;;0;;1;1;9292;10128,28
D5;Agency Plant;Consulting;BOP;Master Agent D;WE;1.11.2019;1.01.2019;2019;5886801;TX;12/31/2019;;1;1683;1;1;1980;1683
N/A;Direct;Consulting;Auto;N/A;CE;1.06.2019;1.03.2019;2019;36371309;MT;12/31/2019;;0;;1;1;6344;6978,4
X1;Agency Plant;Construction;BOP;Master Agent X;SE;1.07.2019;1.06.2019;2019;41191891;TX;12/31/2019;;0;;1;1;12390;13505,1
N/A;Direct;Wholesale Trade;BOP;N/A;SE;1.10.2019;1.01.2019;2019;68543055;MD;12/31/2019;;1;6757,8;1;1;8045;6757,8
P8;Agency Plant;Technology;WC;Master Agent P;NE;1.01.2019;1.11.2019;2019;30874278;GA;12/31/2019;;0;;1;1;4917;5408,7
R7;Agency Plant;Restaurants;BOP;Master Agent R;SE;1.12.2019;1.01.2019;2019;62464176;PA;12/31/2019;;1;3484,04;1;1;3787;3484,04
N/A;Other;Agriculture;WC;N/A;SE;1.03.2019;1.12.2019;2019;81623494;TX;12/31/2019;;0;;1;1;5831;5481,14
U2;Agency Plant;Retail Trade;WC;Master Agent U;NE;1.01.2019;1.02.2019;2019;40532609;VA;12/31/2019;;0;;1;1;1618;1537,1
N/A;Other;Wholesale Trade;WC;N/A;CE;1.05.2019;1.03.2019;2019;80603797;GA;12/31/2019;;0;;1;1;6301;5796,92
E5;Agency Plant;Restaurants;WC;Master Agent E;CE;1.01.2019;1.03.2019;2019;23852427;MA;12/31/2019;;0;;1;1;8666;7452,76
N/A;Other;Retail Trade;Auto;N/A;CE;1.01.2019;1.07.2019;2019;9258105;MD;12/31/2019;;0;;1;1;5548;5492,52
Q3;Agency Plant;Finance & Insurance;BOP;Master Agent Q;CE;1.11.2019;1.07.2019;2019;30861702;AL;12/31/2019;;0;;1;1;2720;2720
N/A;Other;Restaurants;BOP;N/A;MW;1.02.2019;1.02.2019;2019;6591676;ME;12/31/2019;;0;;1;1;12313;13421,17
N/A;Direct;Retail Trade;BOP;N/A;SE;1.08.2019;1.01.2019;2019;106761441;IL;12/31/2019;;0;;1;1;3276;2588,04
N/A;Other;Agriculture;BOP;N/A;WE;1.05.2019;1.02.2019;2019;75153805;SC;12/31/2019;;0;;1;1;8665;8145,1
J5;Agency Plant;Construction;BOP;Master Agent J;SE;1.02.2019;1.06.2019;2019;12311112;CA;12/31/2019;;0;;1;1;13546;13952,38
N/A;Other;Restaurants;BOP;N/A;CE;1.10.2019;1.04.2019;2019;56451727;NY;12/31/2019;;0;;1;1;12264;11650,8
M1;Agency Plant;Consulting;WC;Master Agent M;MW;1.12.2019;1.09.2019;2019;78702483;FL;12/31/2019;;1;4546,62;1;1;5829;4546,62
P4;Agency Plant;Agriculture;BOP;Master Agent P;MW;1.07.2019;1.12.2019;2019;14701048;GA;12/31/2019;;0;;1;1;6945;7500,6
N/A;Direct;Finance & Insurance;BOP;N/A;CE;1.08.2019;1.10.2019;2019;37703038;GA;12/31/2019;;0;;1;1;1059;815,43
N/A;Other;Restaurants;Auto;N/A;SE;1.07.2019;1.09.2019;2019;57912076;SC;12/31/2019;;0;;1;1;2645;2142,45
N/A;Direct;Construction;BOP;N/A;SE;1.10.2019;1.09.2019;2019;11343832;SC;12/31/2019;;0;;1;1;9725;8363,5
P3;Agency Plant;Construction;Auto;Master Agent P;CE;1.07.2019;1.03.2019;2019;67461469;MS;12/31/2019;;1;10801,89;1;1;10911;10801,89
N/A;Direct;Transportation;BOP;N/A;SE;1.12.2019;1.02.2019;2019;88112817;TX;12/31/2019;;1;5880,55;1;1;5395;5880,55
N/A;Direct;Wholesale Trade;BOP;N/A;SE;1.11.2019;1.05.2019;2019;22782583;CA;12/31/2019;;0;;1;1;7273;6618,43
V4;Agency Plant;Technology;BOP;Master Agent V;SE;1.07.2019;1.07.2019;2019;5056647;WV;12/31/2019;;1;1040,04;1;1;1284;1040,04
H7;Agency Plant;Wholesale Trade;BOP;Master Agent H;SE;1.10.2019;1.07.2019;2019;41131429;MA;12/31/2019;;0;;1;1;4192;3814,72
L1;Agency Plant;Restaurants;BOP;Master Agent L;MW;1.10.2019;1.05.2019;2019;2337619;PA;12/31/2019;;0;;1;1;12938;10479,78
N/A;Direct;Construction;BOP;N/A;WE;1.09.2019;1.05.2019;2019;98781928;MI;12/31/2019;;1;4969,6;1;1;6212;4969,6
F5;Agency Plant;Finance & Insurance;BOP;Master Agent F;NE;1.12.2019;1.11.2019;2019;10355563;FL;12/31/2019;;0;;1;1;3652;4017,2
N/A;Direct;Technology;BOP;N/A;CE;1.12.2019;1.06.2019;2019;116133278;NC;12/31/2019;;1;1281,28;1;1;1408;1281,28
N/A;Direct;Agriculture;WC;N/A;SE;1.11.2019;1.06.2019;2019;118003320;OR;12/31/2019;;0;;1;1;11801;12981,1
N/A;Direct;Finance & Insurance;WC;N/A;NE;1.12.2019;1.06.2019;2019;61523712;CA;12/31/2019;;0;;1;1;4496;4855,68
V5;Agency Plant;Retail Trade;BOP;Master Agent V;WE;1.07.2019;1.11.2019;2019;43561818;TX;12/31/2019;;1;1608,66;1;1;1986;1608,66
N/A;Direct;Retail Trade;Auto;N/A;CE;1.02.2019;1.09.2019;2019;72622169;TN;12/31/2019;;1;5468,77;1;1;5111;5468,77
N/A;Direct;Consulting;BOP;N/A;WE;1.10.2019;1.12.2019;2019;52814504;MN;12/31/2019;;1;932,23;1;1;923;932,23
N/A;Direct;Wholesale Trade;BOP;N/A;NE;1.09.2019;1.06.2019;2019;13692999;MD;12/31/2019;;0;;1;1;5959;4469,25
H6;Agency Plant;Retail Trade;Auto;Master Agent H;WE;1.10.2019;1.03.2019;2019;37953112;NJ;12/31/2019;;1;1299,86;1;1;1262;1299,86
M1;Agency Plant;Retail Trade;WC;Master Agent M;NE;1.05.2019;1.08.2019;2019;120064172;MS;12/31/2019;;1;3896,42;1;1;4378;3896,42
N/A;Direct;Transportation;WC;N/A;CE;1.10.2019;1.12.2019;2019;16823308;VA;12/31/2019;;0;;1;1;3965;4361,5
N/A;Direct;Retail Trade;Auto;N/A;MW;1.05.2019;1.10.2019;2019;5296224;NC;12/31/2019;;1;2534,46;1;1;2391;2534,46
N/A;Direct;Restaurants;WC;N/A;NE;1.08.2019;1.12.2019;2019;27814113;CA;12/31/2019;;0;;1;1;8124;7961,52
O8;Agency Plant;Technology;WC;Master Agent O;CE;1.08.2019;1.05.2019;2019;11931329;VT;12/31/2019;;1;1170,96;1;1;1428;1170,96
O4;Agency Plant;Agriculture;BOP;Master Agent O;NE;1.10.2019;1.08.2019;2019;105283241;WA;12/31/2019;;0;;1;1;7432;7654,96
N/A;Direct;Restaurants;WC;N/A;WE;1.11.2019;1.08.2019;2019;115843402;FL;12/31/2019;;0;;1;1;16472;13342,32
N/A;Direct;Finance & Insurance;WC;N/A;WE;1.12.2019;1.06.2019;2019;95933149;NC;12/31/2019;;0;;1;1;1463;1536,15
F8;Agency Plant;Retail Trade;WC;Master Agent F;MW;1.12.2019;1.05.2019;2019;71651066;LA;12/31/2019;;1;5751,9;1;1;6391;5751,9
N/A;Other;Construction;BOP;N/A;WE;1.12.2019;1.07.2019;2019;11096855;FL;12/31/2019;;0;;1;1;8789;8349,55
Y8;Agency Plant;Transportation;BOP;Master Agent Y;NE;1.12.2019;1.04.2019;2019;4500292;MT;12/31/2019;;0;;1;1;4525;4615,5
P7;Agency Plant;Construction;BOP;Master Agent P;WE;1.01.2019;1.09.2019;2019;1541391;MO;12/31/2019;;0;;1;1;7054;5361,04
S6;Agency Plant;Restaurants;BOP;Master Agent S;CE;1.12.2019;1.09.2019;2019;66654076;AL;12/31/2019;;0;;1;1;9618;9714,18
N/A;Direct;Consulting;Auto;N/A;NE;1.07.2019;1.06.2019;2019;9471241;TN;12/31/2019;;1;564,96;1;1;528;564,96
Y6;Agency Plant;Restaurants;Auto;Master Agent Y;NE;1.10.2019;1.07.2019;2019;51423198;PA;12/31/2019;;0;;1;1;12700;13970
J1;Agency Plant;Restaurants;WC;Master Agent J;WE;1.01.2019;1.08.2019;2019;116934389;IL;12/31/2019;;0;;1;1;3805;4147,45
N/A;Direct;Retail Trade;BOP;N/A;NE;1.10.2019;1.12.2019;2019;7313573;LA;12/31/2019;;0;;1;1;3160;3096,8
R5;Agency Plant;Retail Trade;Auto;Master Agent R;CE;1.02.2019;1.06.2019;2019;92714449;DE;12/31/2019;;0;;1;1;1832;1978,56
A4;Agency Plant;Retail Trade;WC;Master Agent A;SE;1.11.2019;1.10.2019;2019;35114245;CT;12/31/2019;;0;;1;1;4757;4614,29
N/A;Other;Wholesale Trade;WC;N/A;NE;1.10.2019;1.03.2019;2019;39163082;MS;12/31/2019;;0;;1;1;2365;1939,3
G1;Agency Plant;Restaurants;BOP;Master Agent G;WE;1.10.2019;1.03.2019;2019;55612333;MN;12/31/2019;;1;2996,46;1;1;3222;2996,46
N/A;Direct;Consulting;Auto;N/A;NE;1.02.2019;1.08.2019;2019;39972238;SC;12/31/2019;;1;5024,16;1;1;4652;5024,16
G1;Agency Plant;Restaurants;WC;Master Agent G;WE;1.10.2019;1.06.2019;2019;1738427;VT;12/31/2019;;0;;1;1;9923;7442,25
S6;Agency Plant;Real Estate;BOP;Master Agent S;WE;1.10.2019;1.02.2019;2019;4861987;WA;12/31/2019;;0;;1;1;16106;17233,42
X1;Agency Plant;Restaurants;BOP;Master Agent X;CE;1.09.2019;1.03.2019;2019;5740901;GA;12/31/2019;;1;7173,29;1;1;6581;7173,29
V5;Agency Plant;Consulting;BOP;Master Agent V;WE;1.01.2019;1.09.2019;2019;62633579;MT;12/31/2019;;1;5059,09;1;1;5009;5059,09
R8;Agency Plant;Agriculture;Auto;Master Agent R;NE;1.08.2019;1.01.2019;2019;158973;TX;12/31/2019;;0;;1;1;5817;5584,32
N/A;Direct;Wholesale Trade;WC;N/A;CE;1.10.2019;1.01.2019;2019;4373110;TX;12/31/2019;;0;;1;1;6766;6698,34
T3;Agency Plant;Retail Trade;WC;Master Agent T;WE;1.07.2019;1.12.2019;2019;7179594;WY;12/31/2019;;0;;1;1;2079;1621,62
J5;Agency Plant;Real Estate;WC;Master Agent J;WE;1.04.2019;1.05.2019;2019;63084490;MO;12/31/2019;;0;;1;1;16860;17871,6
N/A;Other;Transportation;BOP;N/A;WE;1.01.2019;1.03.2019;2019;12833705;NY;12/31/2019;;0;;1;1;5498;4563,34
F1;Agency Plant;Technology;Auto;Master Agent F;NE;1.01.2019;1.09.2019;2019;73511710;FL;12/31/2019;;0;;1;1;5100;5100
N5;Agency Plant;Restaurants;BOP;Master Agent N;WE;1.10.2019;1.05.2019;2019;63994377;CA;12/31/2019;;0;;1;1;16928;16420,16
N/A;Other;Restaurants;Auto;N/A;CE;1.12.2019;1.05.2019;2019;83983001;RI;12/31/2019;;1;11791,64;1;1;12817;11791,64
N/A;Direct;Finance & Insurance;WC;N/A;NE;1.02.2019;1.03.2019;2019;110081206;IL;12/31/2019;;0;;1;1;1070;1005,8
T4;Agency Plant;Consulting;BOP;Master Agent T;WE;1.07.2019;1.02.2019;2019;84101041;IN;12/31/2019;;0;;1;1;2918;2567,84
E2;Agency Plant;Technology;WC;Master Agent E;NE;1.03.2019;1.12.2019;2019;109872707;SC;12/31/2019;;0;;1;1;3573;3072,78
L4;Agency Plant;Retail Trade;BOP;Master Agent L;NE;1.10.2019;1.08.2019;2019;98592428;MO;12/31/2019;;0;;1;1;4892;4353,88
N/A;Direct;Technology;WC;N/A;CE;1.10.2019;1.10.2019;2019;9633578;IL;12/31/2019;;0;;1;1;1220;1049,2
N/A;Direct;Restaurants;WC;N/A;CE;1.08.2019;1.10.2019;2019;8187835;IA;12/31/2019;;0;;1;1;2279;1754,83
N/A;Direct;Restaurants;WC;N/A;WE;1.06.2019;1.05.2019;2019;23113452;MN;12/31/2019;;0;;1;1;9910;7531,6
N/A;Other;Restaurants;WC;N/A;NE;1.08.2019;1.05.2019;2019;10183761;GA;12/31/2019;;0;;1;1;4902;4313,76
V8;Agency Plant;Construction;BOP;Master Agent V;SE;1.12.2019;1.03.2019;2019;8703315;WY;12/31/2019;;1;14191,8;1;1;13020;14191,8
L5;Agency Plant;Restaurants;WC;Master Agent L;WE;1.11.2019;1.07.2019;2019;2582612;GA;12/31/2019;;1;8491,21;1;1;9331;8491,21
N/A;Direct;Restaurants;BOP;N/A;NE;1.01.2019;1.10.2019;2019;107243475;KS;12/31/2019;;0;;1;1;14831;13199,59
Y1;Agency Plant;Consulting;WC;Master Agent Y;SE;1.10.2019;1.06.2019;2019;70023290;MN;12/31/2019;;1;4237,22;1;1;4927;4237,22
N/A;Direct;Construction;WC;N/A;CE;1.01.2019;1.06.2019;2019;28961951;SC;12/31/2019;;0;;1;1;12765;9573,75
N/A;Direct;Technology;BOP;N/A;WE;1.09.2019;1.01.2019;2019;114914042;NC;12/31/2019;;0;;1;1;4689;4689
N/A;Direct;Finance & Insurance;Auto;N/A;WE;1.05.2019;1.01.2019;2019;113423440;TX;12/31/2019;;1;4565;1;1;4150;4565
N/A;Direct;Restaurants;BOP;N/A;SE;1.10.2019;1.07.2019;2019;3936378;NJ;12/31/2019;;0;;1;1;13191;10684,71
Y7;Agency Plant;Finance & Insurance;Auto;Master Agent Y;MW;1.09.2019;1.04.2019;2019;111941429;NC;12/31/2019;;0;;1;1;907;907
N/A;Direct;Construction;BOP;N/A;SE;1.06.2019;1.09.2019;2019;31052281;OR;12/31/2019;;0;;1;1;9436;9058,56
O7;Agency Plant;Construction;BOP;Master Agent O;CE;1.06.2019;1.03.2019;2019;11407774;IL;12/31/2019;;1;9122,3;1;1;8293;9122,3
K8;Agency Plant;Restaurants;WC;Master Agent K;CE;1.05.2019;1.07.2019;2019;29831601;FL;12/31/2019;;0;;1;1;10285;11004,95
N5;Agency Plant;Restaurants;Auto;Master Agent N;SE;1.10.2019;1.08.2019;2019;77102717;TX;12/31/2019;;1;16266,14;1;1;15202;16266,14
X2;Agency Plant;Technology;BOP;Master Agent X;NE;1.10.2019;1.07.2019;2019;10113446;OH;12/31/2019;;1;3258,9;1;1;3621;3258,9
U2;Agency Plant;Construction;WC;Master Agent U;SE;1.10.2019;1.10.2019;2019;74163829;OR;12/31/2019;;0;;1;1;7727;6954,3
P6;Agency Plant;Technology;WC;Master Agent P;WE;1.06.2019;1.10.2019;2019;6052415;DE;12/31/2019;;1;1987,2;1;1;1840;1987,2
B4;Agency Plant;Real Estate;BOP;Master Agent B;NE;1.12.2019;1.03.2019;2019;84782272;NJ;12/31/2019;;0;;1;1;13477;12398,84
N/A;Direct;Retail Trade;BOP;N/A;WE;1.08.2019;1.09.2019;2019;47673234;OK;12/31/2019;;0;;1;1;5357;4928,44
N/A;Other;Retail Trade;BOP;N/A;SE;1.09.2019;1.08.2019;2019;117324080;TN;12/31/2019;;0;;1;1;5735;5218,85
B8;Agency Plant;Agriculture;WC;Master Agent B;SE;1.02.2019;1.11.2019;2019;37433691;TX;12/31/2019;;0;;1;1;6825;7098
Q8;Agency Plant;Wholesale Trade;Auto;Master Agent Q;SE;1.07.2019;1.04.2019;2019;26723738;MI;12/31/2019;;0;;1;1;3396;2716,8
N/A;Direct;Technology;WC;N/A;MW;1.05.2019;1.09.2019;2019;92134502;CA;12/31/2019;;0;;1;1;2917;2216,92
R1;Agency Plant;Agriculture;BOP;Master Agent R;SE;1.05.2019;1.06.2019;2019;77863517;TX;12/31/2019;;0;;1;1;7774;5985,98
N/A;Direct;Technology;WC;N/A;SE;1.10.2019;1.04.2019;2019;16942600;NY;12/31/2019;;1;1480,78;1;1;1511;1480,78
N/A;Other;Restaurants;WC;N/A;WE;1.08.2019;1.03.2019;2019;30531106;MD;12/31/2019;;0;;1;1;11989;12828,23
N/A;Direct;Restaurants;Auto;N/A;NE;1.10.2019;1.10.2019;2019;71983154;FL;12/31/2019;;1;5591,3;1;1;6578;5591,3
I6;Agency Plant;Finance & Insurance;BOP;Master Agent I;MW;1.02.2019;1.02.2019;2019;47582270;NJ;12/31/2019;;0;;1;1;2296;2181,2
D6;Agency Plant;Transportation;WC;Master Agent D;SE;1.09.2019;1.01.2019;2019;96903137;MD;12/31/2019;;0;;1;1;3002;2551,7
N/A;Direct;Finance & Insurance;Auto;N/A;NE;1.06.2019;1.11.2019;2019;51904324;FL;12/31/2019;;1;4829,49;1;1;5193;4829,49
T8;Agency Plant;Restaurants;Auto;Master Agent T;SE;1.12.2019;1.01.2019;2019;48133496;ME;12/31/2019;;0;;1;1;7307;7599,28
N/A;Other;Real Estate;BOP;N/A;SE;1.10.2019;1.01.2019;2019;3790481;CA;12/31/2019;;0;;1;1;2624;2256,64
Q4;Agency Plant;Consulting;WC;Master Agent Q;MW;1.06.2019;1.11.2019;2019;10171191;TN;12/31/2019;;1;3985,28;1;1;3832;3985,28
T2;Agency Plant;Finance & Insurance;BOP;Master Agent T;CE;1.02.2019;1.01.2019;2019;54163296;NV;12/31/2019;;0;;1;1;3511;3054,57
I7;Agency Plant;Consulting;BOP;Master Agent I;CE;1.10.2019;1.04.2019;2019;25492874;TX;12/31/2019;;1;4746,16;1;1;5788;4746,16
N/A;Direct;Wholesale Trade;BOP;N/A;SE;1.04.2019;1.06.2019;2019;84823351;TX;12/31/2019;;1;5934,22;1;1;6313;5934,22
V5;Agency Plant;Consulting;Auto;Master Agent V;SE;1.10.2019;1.10.2019;2019;96861673;DE;12/31/2019;;0;;1;1;3499;3114,11
N/A;Direct;Technology;WC;N/A;SE;1.10.2019;1.02.2019;2019;7991766;FL;12/31/2019;;0;;1;1;1526;1159,76
N/A;Direct;Retail Trade;BOP;N/A;SE;1.06.2019;1.10.2019;2019;45494033;CT;12/31/2019;;0;;1;1;2011;2151,77
J1;Agency Plant;Technology;WC;Master Agent J;NE;1.08.2019;1.05.2019;2019;9792838;CT;12/31/2019;;1;1760,08;1;1;1796;1760,08
J3;Agency Plant;Construction;WC;Master Agent J;MW;1.05.2019;1.11.2019;2019;103203028;AL;12/31/2019;;0;;1;1;11581;9380,61
N/A;Direct;Technology;WC;N/A;WE;1.09.2019;1.02.2019;2019;120751388;GA;12/31/2019;;0;;1;1;5072;5376,32
S7;Agency Plant;Retail Trade;BOP;Master Agent S;SE;1.10.2019;1.04.2019;2019;2031735;FL;12/31/2019;;1;2577,96;1;1;3069;2577,96
N/A;Direct;Finance & Insurance;Auto;N/A;WE;1.12.2019;1.04.2019;2019;30921857;ME;12/31/2019;;1;4677,99;1;1;5377;4677,99
N/A;Direct;Technology;Auto;N/A;NE;1.11.2019;1.05.2019;2019;84681935;AL;12/31/2019;;0;;1;1;1783;1426,4
K3;Agency Plant;Real Estate;Auto;Master Agent K;WE;1.08.2019;1.07.2019;2019;6457498;MO;12/31/2019;;0;;1;1;6575;6969,5
K4;Agency Plant;Technology;Auto;Master Agent K;WE;1.05.2019;1.06.2019;2019;87861058;MS;12/31/2019;;0;;1;1;4159;3701,51
N/A;Direct;Other;BOP;N/A;SE;1.11.2019;1.08.2019;2019;38393222;DC;12/31/2019;;1;1035,72;1;1;959;1035,72
N/A;Other;Technology;BOP;N/A;NE;1.02.2019;1.11.2019;2019;32763438;TN;12/31/2019;;1;1776,2;1;1;1660;1776,2
T6;Agency Plant;Wholesale Trade;WC;Master Agent T;SE;1.11.2019;1.01.2019;2019;20291524;NJ;12/31/2019;;1;6468,45;1;1;7435;6468,45
N/A;Direct;Agriculture;WC;N/A;SE;1.07.2019;1.12.2019;2019;20513794;ME;12/31/2019;;0;;1;1;7149;7649,43
N/A;Other;Finance & Insurance;BOP;N/A;MW;1.05.2019;1.10.2019;2019;7654019;PA;12/31/2019;;0;;1;1;1039;903,93
U2;Agency Plant;Retail Trade;Auto;Master Agent U;MW;1.12.2019;1.01.2019;2019;2683360;AL;12/31/2019;;1;1503,65;1;1;1769;1503,65
N2;Agency Plant;Transportation;BOP;Master Agent N;NE;1.10.2019;1.09.2019;2019;7768529;SC;12/31/2019;;0;;1;1;4891;4793,18
P8;Agency Plant;Restaurants;BOP;Master Agent P;NE;1.07.2019;1.10.2019;2019;9289919;FL;12/31/2019;;0;;1;1;8263;6445,14
N/A;Direct;Consulting;BOP;N/A;WE;1.11.2019;1.07.2019;2019;79343149;CA;12/31/2019;;0;;1;1;3953;3439,11
V4;Agency Plant;Construction;WC;Master Agent V;WE;1.03.2019;1.10.2019;2019;86892986;CA;12/31/2019;;1;12023,79;1;1;11031;12023,79
L4;Agency Plant;Transportation;BOP;Master Agent L;MW;1.12.2019;1.02.2019;2019;3273522;AZ;12/31/2019;;1;1688,15;1;1;1777;1688,15
D4;Agency Plant;Consulting;WC;Master Agent D;CE;1.11.2019;1.12.2019;2019;38623585;VA;12/31/2019;;1;3154,64;1;1;3356;3154,64
E1;Agency Plant;Technology;WC;Master Agent E;SE;1.07.2019;1.09.2019;2019;17311378;NY;12/31/2019;;0;;1;1;4766;4718,34
T7;Agency Plant;Technology;BOP;Master Agent T;NE;1.12.2019;1.02.2019;2019;17131614;NC;12/31/2019;;0;;1;1;4696;4977,76
N/A;Direct;Retail Trade;BOP;N/A;SE;1.10.2019;1.08.2019;2019;108431522;VA;12/31/2019;;0;;1;1;6492;6362,16
N/A;Direct;Restaurants;BOP;N/A;SE;1.01.2019;1.10.2019;2019;99674299;NJ;12/31/2019;;1;929,66;1;1;1081;929,66
N/A;Direct;Construction;WC;N/A;WE;1.10.2019;1.09.2019;2019;19821173;LA;12/31/2019;;0;;1;1;11252;10464,36
N8;Agency Plant;Construction;Auto;Master Agent N;CE;1.08.2019;1.08.2019;2019;27532200;CA;12/31/2019;;0;;1;1;11769;9885,96
N/A;Direct;Wholesale Trade;WC;N/A;MW;1.01.2019;1.10.2019;2019;8181869;CO;12/31/2019;;0;;1;1;7264;6973,44
I1;Agency Plant;Finance & Insurance;Auto;Master Agent I;WE;1.05.2019;1.07.2019;2019;1521614;TX;12/31/2019;;0;;1;1;3146;2422,42
N/A;Direct;Restaurants;BOP;N/A;SE;1.03.2019;1.10.2019;2019;11746810;GA;12/31/2019;;0;;1;1;14374;14948,96
N/A;Other;Agriculture;BOP;N/A;WE;1.08.2019;1.12.2019;2019;9788237;CA;12/31/2019;;0;;1;1;8114;8195,14
N/A;Direct;Retail Trade;WC;N/A;SE;1.09.2019;1.10.2019;2019;49872556;TX;12/31/2019;;0;;1;1;4117;3828,81
K1;Agency Plant;Agriculture;BOP;Master Agent K;MW;1.11.2019;1.03.2019;2019;51374172;WA;12/31/2019;;0;;1;1;4244;3819,6
X4;Agency Plant;Consulting;WC;Master Agent X;WE;1.08.2019;1.12.2019;2019;10401821;FL;12/31/2019;;1;1694,9;1;1;1994;1694,9
V7;Agency Plant;Retail Trade;WC;Master Agent V;CE;1.12.2019;1.09.2019;2019;43291193;CT;12/31/2019;;1;5250;1;1;7000;5250
D3;Agency Plant;Restaurants;WC;Master Agent D;NE;1.10.2019;1.07.2019;2019;8764263;OH;12/31/2019;;0;;1;1;12652;13790,68
N/A;Direct;Finance & Insurance;Auto;N/A;CE;1.06.2019;1.09.2019;2019;65981987;GA;12/31/2019;;1;4700,16;1;1;4896;4700,16
F5;Agency Plant;Restaurants;WC;Master Agent F;WE;1.08.2019;1.08.2019;2019;10107514;WA;12/31/2019;;0;;1;1;6816;7156,8
V4;Agency Plant;Agriculture;WC;Master Agent V;MW;1.05.2019;1.03.2019;2019;120042802;OH;12/31/2019;;0;;1;1;9425;9707,75
N/A;Direct;Real Estate;WC;N/A;SE;1.11.2019;1.10.2019;2019;6934834;FL;12/31/2019;;0;;1;1;3764;3161,76
B8;Agency Plant;Real Estate;BOP;Master Agent B;NE;1.09.2019;1.05.2019;2019;68133836;TX;12/31/2019;;0;;1;1;7382;7603,46
N/A;Other;Restaurants;BOP;N/A;CE;1.02.2019;1.10.2019;2019;33653539;NC;12/31/2019;;1;1918,51;1;1;1793;1918,51
N/A;Direct;Agriculture;BOP;N/A;SE;1.10.2019;1.07.2019;2019;101572987;SC;12/31/2019;;0;;1;1;7429;7280,42
N/A;Other;Technology;BOP;N/A;SE;1.11.2019;1.07.2019;2019;22063459;NC;12/31/2019;;1;4411;1;1;4411;4411
G1;Agency Plant;Finance & Insurance;Auto;Master Agent G;SE;1.10.2019;1.09.2019;2019;88771596;TX;12/31/2019;;1;3935,25;1;1;5247;3935,25
C6;Agency Plant;Technology;BOP;Master Agent C;SE;1.12.2019;1.01.2019;2019;33001424;NC;12/31/2019;;1;5072,55;1;1;4831;5072,55
N/A;Direct;Restaurants;WC;N/A;WE;1.07.2019;1.10.2019;2019;2795246;TX;12/31/2019;;1;8743,5;1;1;11658;8743,5
N/A;Direct;Wholesale Trade;Auto;N/A;NE;1.12.2019;1.07.2019;2019;43374255;OH;12/31/2019;;0;;1;1;7792;6545,28
N/A;Direct;Retail Trade;BOP;N/A;NE;1.08.2019;1.06.2019;2019;97022743;NC;12/31/2019;;0;;1;1;5413;4979,96
I3;Agency Plant;Consulting;Auto;Master Agent I;SE;1.12.2019;1.09.2019;2019;90542096;MS;12/31/2019;;0;;1;1;5852;5559,4
Y3;Agency Plant;Wholesale Trade;WC;Master Agent Y;SE;1.05.2019;1.12.2019;2019;83492999;CA;12/31/2019;;0;;1;1;1672;1471,36
X5;Agency Plant;Construction;Auto;Master Agent X;MW;1.12.2019;1.11.2019;2019;66812188;SC;12/31/2019;;1;5480,8;1;1;6448;5480,8
Z3;Agency Plant;Agriculture;BOP;Master Agent Z;SE;1.05.2019;1.07.2019;2019;27623881;VA;12/31/2019;;1;11602,68;1;1;12476;11602,68
N/A;Other;Retail Trade;BOP;N/A;CE;1.12.2019;1.03.2019;2019;6618719;WA;12/31/2019;;0;;1;1;1948;1499,96
X4;Agency Plant;Construction;WC;Master Agent X;CE;1.06.2019;1.10.2019;2019;98573424;MN;12/31/2019;;0;;1;1;14859;14413,23
N/A;Direct;Consulting;WC;N/A;SE;1.06.2019;1.05.2019;2019;108443372;TX;12/31/2019;;1;6079,92;1;1;6468;6079,92
N/A;Direct;Retail Trade;BOP;N/A;CE;1.05.2019;1.08.2019;2019;56601925;IL;12/31/2019;;1;5578,65;1;1;5313;5578,65
N/A;Direct;Restaurants;BOP;N/A;CE;1.12.2019;1.08.2019;2019;12144777;MD;12/31/2019;;1;2320,85;1;1;2443;2320,85
N/A;Direct;Technology;BOP;N/A;SE;1.02.2019;1.07.2019;2019;80302800;WA;12/31/2019;;0;;1;1;3536;2828,8
